id	event	title	url	begin	end	duration	day	location	track	format	level	lang	speakers	last_modified
rp13-session-1698	rp13	Sportblogs und Sportjournalismus - Von investigativen Journalismus aus der Nische	null	2013-05-06T18:30:00+02:00	2013-05-06T19:00:00+02:00	30	2013-05-06	Stage 7	media	discussion	intermediate	de	Alexander Hauser, Don Dahlmann, Sebastian Fiebrig, Kai Pahl	2014-02-24T19:04:35+01:00
rp13-session-170	rp13	Facebook: vom Revolutionsmacher zum Revolutionsgegner?	null	2013-05-06T19:00:00+02:00	2013-05-06T19:30:00+02:00	30	2013-05-06	Stage 4	politics-society	talk	intermediate	de	Zahi Alawi	2014-02-24T19:04:35+01:00
rp13-session-1707	rp13	10 Vorschläge um die Welt zu verbessern	null	2013-05-08T12:30:00+02:00	2013-05-08T13:30:00+02:00	60	2013-05-08	Stage 2	republica	talk	intermediate	de	Felix Schwenzel	2014-02-24T19:04:35+01:00
rp13-session-1714	rp13	Street fighting data science	null	2013-05-08T10:00:00+02:00	2013-05-08T11:00:00+02:00	60	2013-05-08	Workshop A	science-technology	workshop	intermediate	de	Benedikt Köhler, Joerg Blumtritt	2014-02-24T19:04:35+01:00
rp13-session-1715	rp13	Twitter und die Politik: Zur Analyse temporärer und langfristiger politischer Netzwerke	null	2013-05-06T18:30:00+02:00	2013-05-06T19:30:00+02:00	60	2013-05-06	Stage 6	politics-society	talk	intermediate	de	Axel Bruns, Julian Ausserhofer, Axel Maireder, Christian Nuernbergk	2014-02-24T19:04:35+01:00
rp13-session-1716	rp13	Code Literacy – Verstehen, was uns online lenkt	null	2013-05-06T13:30:00+02:00	2013-05-06T14:30:00+02:00	60	2013-05-06	Stage 5	science-technology	workshop	intermediate	de	Nele Heise, Stephan Dreyer, Jan  Schmidt, Katharina Johnsen, Sebastian Deterding	2014-02-24T19:04:35+01:00
rp13-session-172	rp13	Kommunikation zwischen Unbekannten über Unbekanntes und warum Internetrollerei nicht schlimm ist	null	2013-05-08T10:30:00+02:00	2013-05-08T11:00:00+02:00	30	2013-05-08	Stage 6	politics-society	talk	advanced	de	Klaus Kusanowsky	2014-02-24T19:04:35+01:00
rp13-session-1726	rp13	Muslimische BloggerInnen schaffen Gegenöffentlichkeit	null	2013-05-06T18:30:00+02:00	2013-05-06T19:00:00+02:00	30	2013-05-06	Stage 4	media	talk	intermediate	de	Stine Eckert	2014-02-24T19:04:35+01:00
rp13-session-1749	rp13	Wie das Internet literarisches Schreiben verändert	null	2013-05-08T13:45:00+02:00	2013-05-08T14:45:00+02:00	60	2013-05-08	Stage 4	culture	talk	intermediate	de	Frederic Valin, Jan-Uwe Fitz	2014-02-24T19:04:35+01:00
rp13-session-1759	rp13	Modeblogger vereinigt euch! Sind Blog-Netzwerke der Schlüssel zur Professionalisierung?	null	2013-05-07T10:00:00+02:00	2013-05-07T11:00:00+02:00	60	2013-05-07	Stage 3	business-innovation	discussion	intermediate	de	Anna Weilberg, David Kurth Karl  Roth, Katja Dalhöfer, Katja Schweitzberger	2014-02-24T18:44:48+01:00
rp13-session-1764	rp13	Preenaction – Die Zukunft sozialer Medien „erspielen“?	null	2013-05-08T15:00:00+02:00	2013-05-08T16:00:00+02:00	60	2013-05-08	Workshop D	research-education	talk	beginner	de	Daniela Kuka	2014-02-24T19:04:35+01:00
rp13-session-1765	rp13	Der Urheberrechts-Yeti	null	2013-05-08T13:00:00+02:00	2013-05-08T13:30:00+02:00	30	2013-05-08	Stage 3	research-education	talk	intermediate	de	Mathias Schindler	2014-02-24T19:04:35+01:00
rp13-session-1767	rp13	Von Piraten und Friesennerds: Liquid Democracy in der Praxis	null	2013-05-08T16:15:00+02:00	2013-05-08T16:45:00+02:00	30	2013-05-08	Workshop A	politics-society	discussion	beginner	de	Djure Meinen, Joerg Blumtritt	2014-02-24T19:04:35+01:00
rp13-session-1781	rp13	Algorithmen-Ethik	null	2013-05-06T14:45:00+02:00	2013-05-06T15:45:00+02:00	60	2013-05-06	Stage 5	politics-society	discussion	beginner	de	Joerg Blumtritt, Martina Pickhardt, Stephan Noller	2014-02-24T19:04:35+01:00
rp13-session-1786	rp13	A Map of Everywhere You Go Outside - Mining Personal Data	null	2013-05-08T16:15:00+02:00	2013-05-08T16:45:00+02:00	30	2013-05-08	Workshop D	culture	workshop	intermediate	en	Daniel Belasco Rogers, Sophia New	2014-02-24T19:04:35+01:00
rp13-session-179	rp13	Laptop Yoga	null	2013-05-08T10:00:00+02:00	2013-05-08T11:00:00+02:00	60	2013-05-08	Stage 7	republica	workshop	beginner	de	Annina Luzie Schmid	2014-02-24T19:04:35+01:00
rp13-session-1805	rp13	Du nennst es Programmieren, ich nenne es Rock 'n' Roll. Über weibliche Programmierer-Netzwerke.	null	2013-05-07T16:45:00+02:00	2013-05-07T17:15:00+02:00	30	2013-05-07	Stage 7	research-education	talk	beginner	de	Julia Hoffmann, Natalie Sontopski, theresa heilmann	2014-02-24T19:04:35+01:00
rp13-session-1806	rp13	Netzkultur vs Urheberrecht	null	2013-05-08T11:45:00+02:00	2013-05-08T12:15:00+02:00	30	2013-05-08	Stage 3	culture	discussion	intermediate	de	René Walter, Ronny Kraak, Valie  Djordjevic	2014-02-24T19:04:35+01:00
rp13-session-1810	rp13	Data Kitchen - How to get juicy data from spreadsheets	null	2013-05-06T18:30:00+02:00	2013-05-06T19:00:00+02:00	30	2013-05-06	Stage 2	culture	talk	beginner	en	Anna Lena Schiller, Sylke Gruhnwald, Lisa Rienermann	2014-02-24T19:04:35+01:00
rp13-session-1812	rp13	Sketchnotes	null	2013-05-06T12:15:00+02:00	2013-05-06T13:15:00+02:00	60	2013-05-06	Workshop C	culture	workshop	beginner	de	Anna Lena Schiller, Ralf Appelt	2014-02-24T19:04:35+01:00
rp13-session-1814	rp13	Herm und Nilz präsentieren: Das Internet – Der Preis	null	2013-05-07T20:00:00+02:00	2013-05-07T21:00:00+02:00	60	2013-05-07	Stage 3	republica	talk	beginner	de	Nilz Bokelberg, Markus Herrmann	2014-02-24T19:04:35+01:00
rp13-session-182	rp13	"Hast Du das schon getwittert?" - Über Nutzen und Risiken von #openjournalism	null	2013-05-08T15:00:00+02:00	2013-05-08T15:30:00+02:00	30	2013-05-08	Stage 5	media	talk	beginner	de	Daniel Bröckerhoff	2014-02-24T19:04:35+01:00
rp13-session-1823	rp13	Wikipedia: wo User geblockt, Artikel gelöscht und Reputationen zerstört werden	null	2013-05-06T18:30:00+02:00	2013-05-06T19:30:00+02:00	60	2013-05-06	Stage 3	research-education	discussion	beginner	de	Anja Ebersbach, Pavel Richter, Dirk Franke	2014-02-24T19:04:35+01:00
rp13-session-1825	rp13	Der Montag liebt dich	null	2013-05-07T10:00:00+02:00	2013-05-07T10:30:00+02:00	30	2013-05-07	Stage 1	politics-society	talk	intermediate	de	Teresa Bücker	2014-02-24T19:04:35+01:00
rp13-session-183	rp13	Mixing Pop & Politics	null	2013-05-07T18:45:00+02:00	2013-05-07T19:15:00+02:00	30	2013-05-07	Stage 3	media	discussion	beginner	de	Daniel Decker	2014-02-24T19:04:35+01:00
rp13-session-184	rp13	Why Hackers Should Be Fed	null	2013-05-07T13:45:00+02:00	2013-05-07T14:45:00+02:00	60	2013-05-07	Stage 3	politics-society	talk	intermediate	de	Matthias Spielkamp, Joel Dullroy	2014-02-24T19:04:35+01:00
rp13-session-1859	rp13	Music Recommendation – Future Casting	null	2013-05-07T18:45:00+02:00	2013-05-07T19:45:00+02:00	60	2013-05-07	Stage 4	culture	discussion	intermediate	en	Eric Eitel, Stephan Baumann, Amélie Anglade, Marie Heimer	2014-02-24T19:04:35+01:00
rp13-session-1862	rp13	Die Themenkarriere des Leistungsschutzrechtes für Presseverlage	null	2013-05-08T13:45:00+02:00	2013-05-08T14:15:00+02:00	30	2013-05-08	Workshop B	media	talk	beginner	de	Christopher Buschow	2014-02-24T19:04:35+01:00
rp13-session-1864	rp13	Semiotik für Nerds – Oder von der Unwahrscheinlichkeit gelingender Kommunikation und offenen Kunstwerken	null	2013-05-06T12:15:00+02:00	2013-05-06T13:15:00+02:00	60	2013-05-06	Workshop A	culture	workshop	beginner	de	Jörg Braun, Sabria David	2014-02-24T19:04:35+01:00
rp13-session-1865	rp13	Richtig essen, richtig schlafen, und lasst die Mate weg: Besser Leben für Geeks	null	2013-05-08T16:45:00+02:00	2013-05-08T17:15:00+02:00	30	2013-05-08	Stage 3	research-education	talk	beginner	de	Matthias Bauer	2014-02-24T19:04:35+01:00
rp13-session-1867	rp13	Blogs und Bier? Das lob’ ich mir! #ironblogger	null	2013-05-08T16:15:00+02:00	2013-05-08T16:45:00+02:00	30	2013-05-08	Stage 5	media	discussion	beginner	de	Nicole Ebber, Johannes Schleimer, Kathrin Kaufmann, Thomas Renger, Steffen Voß	2014-02-24T19:04:35+01:00
rp13-session-1868	rp13	Personal Branding Kampagne: Wie der neue Job dich findet	null	2013-05-07T16:45:00+02:00	2013-05-07T17:15:00+02:00	30	2013-05-07	Stage 5	business-innovation	talk	intermediate	de	Christine Heller, Jochen Mai	2014-02-24T18:44:48+01:00
rp13-session-1879	rp13	meshing berlin networking-networks/LABism vs. Lobbyism - quo vadis civic creativity?	null	2013-05-08T10:00:00+02:00	2013-05-08T11:00:00+02:00	60	2013-05-08	Workshop D	culture	workshop	intermediate	de	Claudia Kefer, Björn Weigelt	2014-02-24T19:04:35+01:00
rp13-session-188	rp13	Datenbefreiung selbst gemacht.	null	2013-05-08T11:15:00+02:00	2013-05-08T12:15:00+02:00	60	2013-05-08	Stage 5	science-technology	talk	beginner	de	Sebastian Vollnhals, Jens Ohlig, Michael Kreil	2014-02-24T19:04:35+01:00
rp13-session-1887	rp13	Music Recommendation - From Peel To Peer: Curatorial Models	null	2013-05-07T18:00:00+02:00	2013-05-07T18:30:00+02:00	30	2013-05-07	Stage 4	culture	discussion	beginner	en	Christian Tjaben, Oke Göttlich	2014-02-24T19:04:35+01:00
rp13-session-1888	rp13	The Neighborhood Will Not Be Streamed	null	2013-05-08T13:00:00+02:00	2013-05-08T13:30:00+02:00	30	2013-05-08	Stage 7	culture	talk	intermediate	en	Andreas Unteidig, Florian  Sametinger, Jennifer  Schubert	2014-02-24T19:04:35+01:00
rp13-session-1890	rp13	Investigatives Bloggen – Das Informationsfreiheitsgesetz richtig nutzen	null	2013-05-08T15:00:00+02:00	2013-05-08T16:00:00+02:00	60	2013-05-08	Workshop A	media	discussion	beginner	de	Stefan Wehrmeyer, Ansgar Koreng, Michael Hörz	2014-02-24T19:04:35+01:00
rp13-session-1892	rp13	Export Controls for Dual-Use Software	null	2013-05-08T12:30:00+02:00	2013-05-08T13:30:00+02:00	60	2013-05-08	Stage 5	politics-society	discussion	beginner	en	Eric King, Markus Löning, Christian Mihr, Andreas Bogk, Geraldine de Bastion	2014-02-24T19:04:35+01:00
rp13-session-190	rp13	Die Digital Natives ziehen in den Krieg	null	2013-05-08T13:45:00+02:00	2013-05-08T14:45:00+02:00	60	2013-05-08	Stage 2	politics-society	talk	beginner	de	Thomas Wiegold, Sascha Stoltenow	2014-02-24T19:04:35+01:00
rp13-session-1916	rp13	Boom vs. Culture Clash | Understanding online in South East Asia	null	2013-05-06T17:45:00+02:00	2013-05-06T18:15:00+02:00	30	2013-05-06	Stage 4	culture	talk	intermediate	en	Sascha Funk	2014-02-24T19:04:35+01:00
rp13-session-1930	rp13	403 Forbidden: A Hands on Experience of the Iranian Internet	null	2013-05-06T13:30:00+02:00	2013-05-06T14:30:00+02:00	60	2013-05-06	Stage 4	politics-society	workshop	beginner	en	Bronwen Robertson, Maral Pourkazemi, Mahmood Enayat, Stina Backer	2014-02-24T19:04:35+01:00
rp13-session-1932	rp13	Von außen nach innen: Der soziale Kontext von Crowdsourcing	null	2013-05-08T15:00:00+02:00	2013-05-08T16:00:00+02:00	60	2013-05-08	Stage 6	business-innovation	talk	intermediate	de	Thomas Gegenhuber, Robert Bauer	2014-02-24T18:44:48+01:00
rp13-session-1933	rp13	Six degrees of Wikipedia	null	2013-05-07T20:00:00+02:00	2013-05-07T21:00:00+02:00	60	2013-05-07	Stage 6	republica	action	beginner	de	Sebastian Vollnhals, Julian Finn	2014-02-24T19:04:35+01:00
rp13-session-1940	rp13	Open Data & Culture - Creating the Cultural Commons	null	2013-05-06T14:00:00+02:00	2013-05-06T14:30:00+02:00	30	2013-05-06	Stage 3	culture	talk	intermediate	en	Joris Pekel, Daniel Dietrich	2014-02-24T19:04:35+01:00
rp13-session-1955	rp13	Kontingenz im Design - ODER: der Dschungel der Möglichkeiten	null	2013-05-07T17:30:00+02:00	2013-05-07T18:00:00+02:00	30	2013-05-07	Stage 6	culture	talk	intermediate	de	Magdalena Reiter	2014-02-24T19:04:35+01:00
rp13-session-1957	rp13	Mass Customization: Da geht noch mehr	null	2013-05-06T14:00:00+02:00	2013-05-06T14:30:00+02:00	30	2013-05-06	Stage 2	business-innovation	talk	beginner	de	Kathrin Passig	2014-02-24T18:44:48+01:00
