id	event	type	name	nickname	photo	organization	position	biography	sessions
rp13-speaker-465	rp13	speaker	Thorsten Feldmann	thorsten-feldmann	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-465.jpg	JBB Rechtsanwälte	Rechtsanwalt	Rechtsanwalt, Fachanwalt für Urheber- und Medienrecht und Partner bei JBB Rechtsanwälte, Studium in Saarbrücken, Köln und Los Angeles, Referendariat in Berlin und New York; seit 2007 als Speaker auf der re:publica, seit 2009 gemeinsam mit Henning Krieg (www.kriegs-recht.de, @kriegs_recht)	[object Object]
rp13-speaker-104	rp13	speaker	Henning  Krieg	henning-krieg	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-104.jpg		Rechtsanwalt und Syndikus	Henning Krieg ist Rechtsanwalt und Syndikus eines internationalen Softwarekonzerns. Er ist regelmäßig als Referent aktiv - und war auf jeder re:publica seit 2008 mit einem Workshop dabei (seit 2009 gemeinsam mit Thorsten Feldmann). Er hat zahlreiche Beiträge zum Online-, IT- und Datenschutzrecht veröffentlicht und bloggt unter www.kriegs-recht.de.	[object Object]
rp13-speaker-743	rp13	speaker	Eric Eitel	eric-eitel	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-743.jpg	all2gethernow e.V.	Vorstand	Eric Eitel berät Tech- und Kulturprojekte bei ihrer strategischen Kommunikation mit der Aussenwelt. Eine persönliche Schwäche hat er für Web-Startups, insbesondere, wenn sie sich mit der Zukunft des Musik-Geschäfts oder Musikkultur befassen. Eric twittert obsessiv als @alias_eitel und schreibt als freier Autor für Netz- und Musikfachpublikationen. In seiner Freizeit engagiert er sich als Vorstand für den nichtkommerziellen Musik-Think-Tank all2gethernow e.V. und legt Schallplatten in Bars auf.	
rp13-speaker-1470	rp13	speaker	Stephan Baumann	stephan-baumann	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1470.jpg	DFKI	Head of Competence Center Computational Culture	Stephan Baumann heads the Competence Center Computational Culture (C4) at\nthe German Research Center for AI in Kaiserslautern and Berlin (DFKI) . He is currently\nengaged in research operations working on the cutting-edge in the Social\nWeb and Recommender technology. Prior to this he\ndid a PhD on Artificial Listening Systems at DFKI and IRCAM/Paris. In\nparallel he co-founded the sonicson GmbH - a startup for music\nrecommendation engines- which was sold to Bertelsmann in 2004. His current\nresearch interests are in algorithm design for Social Network Analysis,\nSemantic Music Recommenders and the Post-Digital/Neo-Analog world.\nHis research team works at the moment on realtime processing and datamining of large-scale social and sensor data.	[object Object]
rp13-speaker-1473	rp13	speaker	Amélie Anglade	am-lie-anglade	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1473.jpg	SoundCloud	Music Information Retrieval Engineer	Amélie Anglade is a developer at SoundCloud. By day she researches, prototypes and implements search engines, audio recommender systems and other Music Information Retrieval algorithms. By night she volunteers at the OpenTechSchool and the Berlin Geekettes trying to get more women into programming and tech.	[object Object]
rp13-speaker-1476	rp13	speaker	Marie Heimer	marie-heimer		Spotify	Manager Label Relations		[object Object]
rp13-speaker-534	rp13	speaker	Gregor Sedlag	gregor-sedlag	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-534.jpg	c-base e. V.	conceptioneer	Illustrator, Graphik Designer, Comic-Autor und Risszeichner, PHUTURAMA Science Fiction Design-Blog; conceptioneer c-base Raumstation Berlin	
rp13-speaker-946	rp13	speaker	Faith Bosworth 	faith-bosworth	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-946.jpg			Faith's work focuses on the role of information and media in activism. In her extra hours, she nurtures an interest in how we create information to identify and define ourselves and to create relationships. She loves postcards. And equally hates e-cards.	[object Object]
rp13-speaker-1564	rp13	speaker	Sandra Schüssel	sandra-schuessel	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1564.jpg	MVB Marketing und Verlagsservice des Buchhandels GmbH	Leitung Produktmanagement	Sandra Schüssel ist verantwortlich für Produktentwicklung und -management bei der MVB, der Wirtschaftstochter des Börsenvereins des Deutschen Buchhandels. Zuvor hat sie als Media Developer und Journalistin gearbeitet. Zum Portfolio der MVB gehört das Verzeichnis lieferbarer Bücher, mit mehr als 1,5 Millionen aktiven Titeln und 1,9 archivierten Titeln das zentrale Marketing- und Rechercheinstrument der Buchbranche.	[object Object]
rp13-speaker-1562	rp13	speaker	Daniela Geyer	daniela-geyer	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1562.jpg	MVB Marketing und Verlagsservice des Buchhandels GmbH	Stellv. Leitung Produktmanagement		[object Object]
rp13-speaker-2091	rp13	speaker	Linda Steglich	linda-steglich	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-2091.jpg	De Gruyter	eMarketing		[object Object]
rp13-speaker-2093	rp13	speaker	Tobias Proksch	tobias-proksch		MAIRDUMONT	Head of eCommerce		[object Object]
rp13-speaker-2417	rp13	speaker	Ralf  Biesemeier	ralf-biesemeier		readbox publishing gmbh	Geschäftsführer	Ralfs Unternehmen Readbox bietet Verlagen Produkte, Dienstleistungen und individuelle Softwarelösungen bei der Herstellung, Vermarktung und dem Vertrieb von E-Books und anderen digitalen Verlagsprodukten.	[object Object]
rp13-speaker-2413	rp13	speaker	Henrik Berggren	henrik-berggren	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-2413.jpg	Readmill	CEO	Henrik is a Swedish entrepreneur that relocated to Berlin to build Readmill – a digital reading platform for e-books. Readmill lets readers store all of their ebooks in one place, enjoy books in one of the best readers on iOS and share their favorite parts with friends. The company was founded in 2011 and is backed by Wellington Partners, Index Ventures & Passion Capital.	[object Object]
rp13-speaker-962	rp13	speaker	Kate Miltner	kate-miltner	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-962.png	Microsoft Research New England	Research Assistant	Kate Miltner is the Research Assistant for the Social Media Collective at Microsoft Research New England. She received her MSc from the London School of Economics after writing her dissertation on LOLCats, something for which she has been mocked mercilessly in the comments sections of Gawker, The Huffington Post, Mashable, Time Magazine, and the Independent. She has written about internet culture for The Guardian and The Atlantic, and co-authors "Yakkin' About The Internet", a monthly column on The Awl.	[object Object]
