day;start_day;start_time;end_day;end_time;artist;link;location
2015-12-29;2015-12-29;14:00:00;2015-12-29;16:00:00;Selekta Burning;;32c3-dome-loc
2015-12-29;2015-12-29;16:00:00;2015-12-29;18:00:00;Anoush;;32c3-dome-loc
2015-12-29;2015-12-29;18:00:00;2015-12-29;20:00:00;Andi Valent;;32c3-dome-loc
2015-12-29;2015-12-29;20:00:00;2015-12-29;22:00:00;Mario Lasalle;;32c3-dome-loc
2015-12-29;2015-12-29;22:00:00;2015-12-30;05:00:00;RB;;32c3-dome-loc
